"Geschlecht","Alter","1948","1970","2022"
"Geschlecht - Total","Alter - Total",4611200,6193064,8815385
"Geschlecht - Total","0 Jahre",85100,95953,80839
"Geschlecht - Total","1 Jahr",84658,96764,89890
"Geschlecht - Total","2 Jahre",85542,99696,86673
"Geschlecht - Total","3 Jahre",84772,100982,87633
"Geschlecht - Total","4 Jahre",81628,103424,89530
"Geschlecht - Total","5 Jahre",79850,105204,89528
"Geschlecht - Total","6 Jahre",75775,105624,90993
"Geschlecht - Total","7 Jahre",69248,103395,90394
"Geschlecht - Total","8 Jahre",61099,99586,90176
"Geschlecht - Total","9 Jahre",61028,97286,88337
"Geschlecht - Total","10 Jahre",61123,95221,89148
"Geschlecht - Total","11 Jahre",59640,94231,88280
"Geschlecht - Total","12 Jahre",61844,92928,89479
"Geschlecht - Total","13 Jahre",63072,92885,88157
"Geschlecht - Total","14 Jahre",63721,90908,87704
"Geschlecht - Total","15 Jahre",64504,89003,85989
"Geschlecht - Total","16 Jahre",66472,87836,85271
"Geschlecht - Total","17 Jahre",66503,88593,85207
"Geschlecht - Total","18 Jahre",69109,90922,86336
"Geschlecht - Total","19 Jahre",67912,90167,85649
"Geschlecht - Total","20 Jahre",68691,93583,87411
"Geschlecht - Total","21 Jahre",68052,94664,88400
"Geschlecht - Total","22 Jahre",69667,98421,95264
"Geschlecht - Total","23 Jahre",69957,99993,96840
"Geschlecht - Total","24 Jahre",69933,104068,100177
"Geschlecht - Total","25 Jahre",70969,101877,104202
"Geschlecht - Total","26 Jahre",70093,102428,108578
"Geschlecht - Total","27 Jahre",72670,101885,110398
"Geschlecht - Total","28 Jahre",71932,99146,114066
"Geschlecht - Total","29 Jahre",62036,94313,117867
"Geschlecht - Total","30 Jahre",61446,91281,123514
"Geschlecht - Total","31 Jahre",60060,89248,125699
"Geschlecht - Total","32 Jahre",61992,87333,128411
"Geschlecht - Total","33 Jahre",62592,84745,127742
"Geschlecht - Total","34 Jahre",69710,85973,129606
"Geschlecht - Total","35 Jahre",70040,85565,126793
"Geschlecht - Total","36 Jahre",71892,84411,127858
"Geschlecht - Total","37 Jahre",69867,82286,127240
"Geschlecht - Total","38 Jahre",72639,81677,127259
"Geschlecht - Total","39 Jahre",71862,80109,125835
"Geschlecht - Total","40 Jahre",73292,81404,127779
"Geschlecht - Total","41 Jahre",70556,78283,126358
"Geschlecht - Total","42 Jahre",70400,77687,126147
"Geschlecht - Total","43 Jahre",69354,75733,122255
"Geschlecht - Total","44 Jahre",67998,76476,120423
"Geschlecht - Total","45 Jahre",66224,75610,119776
"Geschlecht - Total","46 Jahre",67220,74820,118476
"Geschlecht - Total","47 Jahre",66416,74861,117675
"Geschlecht - Total","48 Jahre",63015,73600,119620
"Geschlecht - Total","49 Jahre",62525,74920,119693
"Geschlecht - Total","50 Jahre",59434,73952,122578
"Geschlecht - Total","51 Jahre",58336,62470,125588
"Geschlecht - Total","52 Jahre",57196,60301,126539
"Geschlecht - Total","53 Jahre",53768,58627,129356
"Geschlecht - Total","54 Jahre",52266,60154,131157
"Geschlecht - Total","55 Jahre",51159,60871,131579
"Geschlecht - Total","56 Jahre",49227,66912,133066
"Geschlecht - Total","57 Jahre",48453,66470,132924
"Geschlecht - Total","58 Jahre",43605,67058,133788
"Geschlecht - Total","59 Jahre",44756,64233,128598
"Geschlecht - Total","60 Jahre",44032,65768,122357
"Geschlecht - Total","61 Jahre",42370,64140,116788
"Geschlecht - Total","62 Jahre",41454,64206,112550
"Geschlecht - Total","63 Jahre",39404,60805,107867
"Geschlecht - Total","64 Jahre",38840,59430,102452
"Geschlecht - Total","65 Jahre",37650,57396,98481
"Geschlecht - Total","66 Jahre",36381,55131,94698
"Geschlecht - Total","67 Jahre",34461,52320,90285
"Geschlecht - Total","68 Jahre",32312,51859,87180
"Geschlecht - Total","69 Jahre",31396,49817,83810
"Geschlecht - Total","70 Jahre",30060,45491,82687
"Geschlecht - Total","71 Jahre",28893,43571,79152
"Geschlecht - Total","72 Jahre",26710,40065,80418
"Geschlecht - Total","73 Jahre",24732,37385,78309
"Geschlecht - Total","74 Jahre",21505,35088,78203
"Geschlecht - Total","75 Jahre",19205,31498,76141
"Geschlecht - Total","76 Jahre",17540,29183,74667
"Geschlecht - Total","77 Jahre",14773,26677,70322
"Geschlecht - Total","78 Jahre",13322,23904,67735
"Geschlecht - Total","79 Jahre",11260,21513,63889
"Geschlecht - Total","80 Jahre",9518,18109,59214
"Geschlecht - Total","81 Jahre",8476,16359,53799
"Geschlecht - Total","82 Jahre",7395,14420,47393
"Geschlecht - Total","83 Jahre",6007,12199,44368
"Geschlecht - Total","84 Jahre",4904,10509,40716
"Geschlecht - Total","85 Jahre",4021,8549,36838
"Geschlecht - Total","86 Jahre",3049,7021,33846
